 app expId TDT AFT flow t_start t_end KB critical
0 com.twitter.android 1 25.663 20.592 video.twimg.com:39856 0.0 0.288 0.502 False
1 com.twitter.android 1 25.663 20.592 pbs.twimg.com:34499 0.00153 0.28852999999999995 0.633 False
2 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 0.00389 0.92989 4.748 True
3 com.twitter.android 1 25.663 20.592 api.twitter.com:54556 0.010285 0.281285 0.196 True
4 com.twitter.android 1 25.663 20.592 mobile.twitter.com:37864 0.01781 0.43180999999999997 3.008 False
5 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 1.190597 1.190597 0.392 True
6 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 1.570727 2.201727 1.703 True
7 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 2.480921 4.740921 1.559 True
8 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 5.082167 5.269167 0.09 True
9 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 5.562188 8.160188 1.502 True
10 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 8.439983 8.439983 0.045 True
11 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 8.7688 11.767800000000001 1.675 True
12 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 12.122188 13.891188 1.082 True
13 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 14.3622 15.7682 1.085 True
14 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 16.282105 17.122105 0.721 True
15 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 17.638584 17.861584 0.268 True
16 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 18.199304 19.330304 0.764 True
17 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 19.798533 21.781533 1.215 True
18 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 22.198923 22.521923 0.315 True
19 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 23.003737 23.706737 0.584 True
20 com.twitter.android 1 25.663 20.592 api.twitter.com:54448 24.042086 26.082086 1.128 True
21 com.twitter.android 2 10.227 9.373 mobile.twitter.com:36723 0.0 0.827 3.008 False
22 com.twitter.android 2 10.227 9.373 api.twitter.com:41741 0.468077 1.115077 4.387 True
23 com.twitter.android 2 10.227 9.373 pbs.twimg.com:48532 0.877226 1.092226 0.789 False
24 com.twitter.android 2 10.227 9.373 video.twimg.com:51391 0.883797 1.092797 0.679 False
25 com.twitter.android 2 10.227 9.373 twitter.com:35160 0.927182 1.294182 2.177 False
26 com.twitter.android 2 10.227 9.373 api.twitter.com:41741 1.389314 1.9543139999999999 2.247 True
